ofjobs,yearsexp,honors,volunteer,military,empholes,workinschool,email,computerskills,specialskills,firstname,expminreq,eoe,manager,supervisor,secretary,offsupport,salesrep,retailsales,req,expreq,comreq,educreq,compreq,orgreq,manuf,transcom,bankreal,trade,busservice,othservice,missind,black,chicago,high,female,college,call_back
2,6,0,0,0,1,0,0,1,0,Allison,5,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0
3,6,0,1,1,0,1,1,1,0,Kristen,5,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
1,6,0,0,0,0,1,0,1,0,Lakisha,5,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
4,6,0,1,0,1,0,1,1,1,Latonya,5,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
3,22,0,0,0,0,1,1,1,0,Carrie,some,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0
2,6,1,0,0,0,0,0,0,1,Jay,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2,5,0,1,0,0,1,1,1,1,Jill,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
4,21,0,1,0,1,0,1,1,1,Kenya,some,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0
3,3,0,0,0,0,0,0,1,1,Latonya,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0
2,6,0,1,0,0,1,1,0,1,Tyrone,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0
4,8,0,1,0,1,0,1,1,1,Aisha,some,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0
4,8,0,0,0,0,1,1,1,0,Allison,some,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0
4,4,0,0,0,1,0,0,1,1,Aisha,,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0
2,4,0,0,0,0,1,0,1,0,Carrie,,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0
2,5,0,1,0,0,0,1,0,1,Aisha,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
3,4,0,0,0,0,0,0,1,1,Geoffrey,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3,5,0,1,0,0,1,1,0,0,Matthew,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
3,6,0,0,0,0,0,0,0,1,Tamika,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0
2,6,1,1,0,0,1,1,0,1,Jill,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
2,8,0,0,0,1,0,0,0,0,Latonya,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
3,4,0,1,0,0,1,1,1,1,Leroy,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0
3,3,0,0,0,0,0,0,1,1,Todd,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2,2,0,0,0,0,0,0,0,0,Allison,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
3,7,0,0,0,1,0,0,1,0,Carrie,some,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
3,3,0,1,0,0,0,1,1,1,Greg,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
4,6,0,0,0,1,1,0,1,0,Keisha,some,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0
3,4,0,1,0,0,0,1,1,1,Keisha,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0
4,6,0,1,0,1,0,1,1,1,Kristen,some,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0
3,7,0,0,0,0,1,1,1,0,Lakisha,some,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0
3,2,0,0,0,0,0,0,1,1,Tamika,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0
2,6,0,0,0,0,0,0,1,0,Allison,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
4,6,0,0,0,0,1,0,1,0,Keisha,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0
2,9,0,1,0,1,0,1,1,0,Kristen,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0
3,6,1,0,0,1,1,1,1,0,Latonya,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0
2,4,0,0,0,0,0,0,0,0,Brad,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3,5,0,1,0,0,1,1,1,0,Jill,3,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
